time,y_reported,y_clean,alpha_hat,u_out
                5760,     782064,     782064,          0,    1572864
                5770,     783709,     783709,          0,    1572864
                5780,     785354,     785354,          0,    1572864
                5790,     786998,     786998,          0,    1572864
                5800,     788642,     788642,          0,    1572864
                5810,     790286,     790286,          0,    1572864
                5820,     791930,     791930,          0,    1572864
                5830,     793573,     793573,          0,    1572864
                5840,     795216,     795216,          0,    1572864
                5850,     796859,     796859,          0,    1572864
                5860,     798502,     798502,          0,    1572864
                5870,     800145,     800145,          0,    1572864
                5880,     801787,     801787,          0,    1572864
                5890,     803429,     803429,          0,    1572864
                5900,     805071,     805071,          0,    1572864
                5910,     806713,     806713,          0,    1572864
                5920,     808354,     808354,          0,    1572864
                5930,     809995,     809995,          0,    1572864
                5940,     811636,     811636,          0,    1572864
                5950,     813277,     813277,          0,    1572864
                5960,     814918,     814918,          0,    1572864
                5970,     816558,     816558,          0,    1572864
                5980,     818198,     818198,          0,    1572864
                5990,     819838,     819838,          0,    1572864
                6000,     821478,     821478,          0,    1572864
                6010,     823117,     823117,          0,    1572864
                6020,     824756,     824756,          0,    1572864
                6030,     826395,     826395,          0,    1572864
                6040,     828034,     828034,          0,    1572864
                6050,     829673,     829673,          0,    1572864
                6060,     831311,     831311,          0,    1572864
                6070,     832949,     832949,          0,    1572864
                6080,     834587,     834587,          0,    1572864
                6090,     836225,     836225,          0,    1572864
                6100,     837862,     837862,          0,    1572864
                6110,     839499,     839499,          0,    1572864
                6120,     841136,     841136,          0,    1572864
                6130,     842773,     842773,          0,    1572864
                6140,     844410,     844410,          0,    1572864
                6150,     846046,     846046,          0,    1572864
                6160,     847682,     847682,          0,    1572864
                6170,     849318,     849318,          0,    1572864
                6180,     850954,     850954,          0,    1572864
                6190,     852590,     852590,          0,    1572864
                6200,     854225,     854225,          0,    1572864
                6210,     855860,     855860,          0,    1572864
                6220,     857495,     857495,          0,    1572864
                6230,     859130,     859130,          0,    1572864
                6240,     860764,     860764,          0,    1572864
                6250,     862398,     862398,          0,    1572864
                6260,     864032,     864032,          0,    1572864
                6270,     865666,     865666,          0,    1572864
                6280,     867300,     867300,          0,    1572864
                6290,     868933,     868933,          0,    1572864
                6300,     870566,     870566,          0,    1572864
                6310,     872199,     872199,          0,    1572864
                6320,     873832,     873832,          0,    1572864
                6330,     875464,     875464,          0,    1572864
                6340,     877096,     877096,          0,    1572864
                6350,     878728,     878728,          0,    1572864
                6360,     880360,     880360,          0,    1572864
                6370,     881992,     881992,          0,    1572864
                6380,     883623,     883623,          0,    1572864
                6390,     885254,     885254,          0,    1572864
                6400,     886885,     886885,          0,    1572864
                6410,     888516,     888516,          0,    1572864
                6420,     890146,     890146,          0,    1572864
                6430,     891776,     891776,          0,    1572864
